Migrant remittance inflows (US$ million),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
Australia,180.560002,176.424147,229.233894,280.535371,309.051099,286.591367,304.935539,326.97947,415.195647,495,632,741,771,900,956,1009,1052.91618,1399,1887,2406,2368,2487,1924,1102,1277,1651,2157,2117,1780,2028,1904,1782,1769,2325,2838,940.4077666,1014.841491,1341.851616,1526.025147,1334.648953,1864.472761,2449.287569,2440.634975,2460.025874,2258.340296,2141.153792,2050.854272,1944.20985
Austria,16.5769228,24.7602137,36.2481935,52.594651,80.947895,87.247398,105.288037,118.794359,154.221342,198.032503,244.96817,224.081214,221.039566,214.53396,197.688682,201.287478,302.825486,400.331322,448.606247,469.35656,634.806654,772.385455,815,769,845,2243,2068,1799,1810,1809,1809,1779,1983,2498,2526,2314.592277,2516.186297,2916.148987,3189.874409,3099.130505,2984.175537,3248.735269,3029.287104,3261.615417,3311.869374,2846.099808,2880.629696,2979.061154
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6.294,54.492,57.132,104,181.39,170.847,227.263,623.235,790.214,1267.735,1518.327,1254.645,1410.296,1893.08,1990.18,1733.168,1846.424,1269.964,643.147984,702.0021684
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,18.761275,78.87504,115,171,339,381,527,642,501,503,576,748,764,758,779,769,912,1010,1150,1200,1350,1530.674222,1606.411277,1810.122888,1969.422277,2100.414042,2860.399458,3191.693943,3581.611416,4642.385284,5427.515429,6562.316322,8940.611606,10520.65301,10850.21162,12071.07318,14119.62703,13866.95402,14987.53148,15295.53563,13559.36427,12854.27733
Barbados,4.4,4.6078839,5.1007643,6.3800883,8.1335226,9.2130902,9.65,10,11.7,14.2,9.1,11.05,9.05,8.45,10.4,8.15,10.8,28.2,31.95,32,37.9,45.15,54.5,55.35,57.2,60.9,68.2,77,87.4,99.35,115,131,125.061,130.5,130.508572,94.4554238,87.34842295,138.674184,101.1606508,114.4760895,81.8687962,147.2932662,121.1083957,108.3171903,108.3171903,108.3171903,108.3171903,109.8356816
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,28.5,350.3,294.5,314.9,209,139.6,148.9,140.5,222.2,256,198.6,268.2,288.3,583.3,503.8,575.3,890.6,1053.1,1213.5,1231.3,927.2,920.4,1215.8484
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4673.54272,5986.047929,6866.688081,6887.659698,7266.03639,8993.44972,10479.60449,10638.40601,10350.50081,11065.64804,10625.76698,11234.149,11502.13361,9789.574264,9867.25428,10150.75405
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.75,21.05,24.4,19.35,16.95,21.95,18.45,15.6,19.75,16.5,12.968,13.8965,17.25,22.7,23.4,26.2294045,26.424778,30.5436631,28.4302095,33.8469785,34.9645316,44.69332284,63.81195079,73.11926319,76.48900331,78.5784016,78.13456959,75.32355382,75.94564669,74.40171037,80.33441762,84.7440775,96.6710055,100.1764687
